,book_key,user_key,loan_date,return_date
0,1699774223,D42A0AECF86DE543E159EBCF1F440F55BD9CEF5F,2022-03-31 12:00:00.0,2022-04-18 12:00:00.0
1,1625377432,C0149AC77AF2058BCA3E07FE765A0E30837261EA,2022-04-19 12:00:00.0,2022-04-21 12:00:00.0
2,1699774321,D42A0AECF86DE543E159EBCF1F440F55BD9CEF5F,2022-03-31 12:00:00.0,2022-04-18 12:00:00.0
3,1616331145,E1A7C4AF8B9356CE5A15199E17707545DD7D76DB,2022-04-19 12:00:00.0,2022-04-22 12:00:00.0
4,1689903085,D42A0AECF86DE543E159EBCF1F440F55BD9CEF5F,2022-03-31 12:00:00.0,2022-04-18 12:00:00.0
5,1020601358,C5737B4888348AB2CF9F4A0F13B4A5F78EE232EA,2022-04-19 12:00:00.0,2022-04-28 12:00:00.0
6,1689903073,D42A0AECF86DE543E159EBCF1F440F55BD9CEF5F,2022-03-31 12:00:00.0,2022-04-18 12:00:00.0
7,1670897363,2F5AF0922B7D4CAA2C30AA5E5A5840FD20171981,2022-04-19 12:00:00.0,2022-04-21 12:00:00.0
8,1636603887,1C4E57F3DC6C314A9282E5DB8538101C4C404326,2022-03-31 12:00:00.0,2022-04-21 12:00:00.0
9,1628675266,2F5AF0922B7D4CAA2C30AA5E5A5840FD20171981,2022-04-19 12:00:00.0,2022-04-20 12:00:00.0
10,1719605442,1C4E57F3DC6C314A9282E5DB8538101C4C404326,2022-03-31 12:00:00.0,2022-04-21 12:00:00.0
11,1639381015,FCF83B41BE9826FDE2A8616E834864048E6A0B27,2022-04-19 12:00:00.0,2022-04-21 12:00:00.0
12,1640546662,1C4E57F3DC6C314A9282E5DB8538101C4C404326,2022-03-31 12:00:00.0,2022-04-26 12:00:00.0
13,1660446129,42E06A2B3F89476F11BE86BF52829FAA752AD248,2022-04-19 12:00:00.0,2022-04-21 12:00:00.0
14,1671811850,0D827FA61E656723A91841056D9E4531E82F3A7D,2022-03-31 12:00:00.0,2022-04-18 12:00:00.0
15,1819424629,BFD1E14B08EB368593830AC75F4D4D258B1CA977,2022-04-19 12:00:00.0,2022-04-28 12:00:00.0
16,1750408887,0D827FA61E656723A91841056D9E4531E82F3A7D,2022-03-31 12:00:00.0,2022-04-18 12:00:00.0
17,1792310491,BFD1E14B08EB368593830AC75F4D4D258B1CA977,2022-04-19 12:00:00.0,2022-04-26 12:00:00.0
18,1822450627,1337B84C92EDE9283D2FE0E42B1CCE5E4254D90A,2022-03-31 12:00:00.0,2022-04-22 12:00:00.0
19,1756979734,739D66053CAF426FBA9D73FA67B652CC18FC8927,2022-04-19 12:00:00.0,2022-04-26 12:00:00.0
20,97529070,A17A83F5EC804C4780F7799728B5B6855E831F91,2022-03-31 12:00:00.0,2022-04-25 12:00:00.0
21,1625240951,739D66053CAF426FBA9D73FA67B652CC18FC8927,2022-04-19 12:00:00.0,2022-04-26 12:00:00.0
22,1685446660,34E6A2CD7DEABECF9D8B6B882EDDE95DA04E493A,2022-03-31 12:00:00.0,2022-04-07 12:00:00.0
23,1714329204,739D66053CAF426FBA9D73FA67B652CC18FC8927,2022-04-19 12:00:00.0,2022-04-26 12:00:00.0
24,1651059012,34E6A2CD7DEABECF9D8B6B882EDDE95DA04E493A,2022-03-31 12:00:00.0,2022-04-07 12:00:00.0
25,1737850620,739D66053CAF426FBA9D73FA67B652CC18FC8927,2022-04-19 12:00:00.0,2022-04-26 12:00:00.0
26,1709251154,FEEEECDAC71747E121917313BD6FA387F1BC48C6,2022-03-31 12:00:00.0,2022-04-24 12:00:00.0
27,1703906963,739D66053CAF426FBA9D73FA67B652CC18FC8927,2022-04-19 12:00:00.0,2022-04-26 12:00:00.0
28,1639672447,FEEEECDAC71747E121917313BD6FA387F1BC48C6,2022-03-31 12:00:00.0,2022-04-24 12:00:00.0
29,1818408029,CE424D35DCCF1436CCD875E24D17E34C222ACD00,2022-04-19 12:00:00.0,2022-04-26 12:00:00.0
30,1655697663,A17A83F5EC804C4780F7799728B5B6855E831F91,2022-03-31 12:00:00.0,2022-04-25 12:00:00.0
31,1820207286,CE424D35DCCF1436CCD875E24D17E34C222ACD00,2022-04-19 12:00:00.0,2022-04-26 12:00:00.0
32,1668364438,D0F26FC1CE26BA9ACF9FF24E251A8F74976B36C8,2022-03-31 12:00:00.0,2022-04-22 12:00:00.0
33,1703906938,CE424D35DCCF1436CCD875E24D17E34C222ACD00,2022-04-19 12:00:00.0,2022-04-29 12:00:00.0
34,1655837151,D0F26FC1CE26BA9ACF9FF24E251A8F74976B36C8,2022-03-31 12:00:00.0,2022-04-22 12:00:00.0
35,1818410172,CE424D35DCCF1436CCD875E24D17E34C222ACD00,2022-04-19 12:00:00.0,2022-04-26 12:00:00.0
36,1788742843,F62FA1B28AEAF334F5710E9EE699FEDC3F415361,2022-03-31 12:00:00.0,2022-04-14 12:00:00.0
37,1818410142,CE424D35DCCF1436CCD875E24D17E34C222ACD00,2022-04-19 12:00:00.0,2022-04-26 12:00:00.0
38,1673165799,F62FA1B28AEAF334F5710E9EE699FEDC3F415361,2022-03-31 12:00:00.0,2022-04-14 12:00:00.0
39,1818409896,CE424D35DCCF1436CCD875E24D17E34C222ACD00,2022-04-19 12:00:00.0,2022-04-29 12:00:00.0
40,1624413583,0BC5BD63122EBF38628F1DABD3854D24E423A950,2022-03-31 12:00:00.0,2022-04-09 12:00:00.0
41,1766285460,04C6FA29F95C3EECAF995AC6238AFDA5B148A72E,2022-04-19 12:00:00.0,2022-04-28 12:00:00.0
42,1788817393,F14E996679DD1C44F110D3E9ACEA16200CA7A338,2022-03-31 12:00:00.0,2022-04-14 12:00:00.0
43,1784713517,04C6FA29F95C3EECAF995AC6238AFDA5B148A72E,2022-04-19 12:00:00.0,2022-04-28 12:00:00.0
44,1764250621,F14E996679DD1C44F110D3E9ACEA16200CA7A338,2022-03-31 12:00:00.0,2022-04-14 12:00:00.0
45,1625422850,04C6FA29F95C3EECAF995AC6238AFDA5B148A72E,2022-04-19 12:00:00.0,2022-04-28 12:00:00.0
46,1727334713,927310430AE1A6C93079F16577447F56BB94717A,2022-03-31 12:00:00.0,2022-04-14 12:00:00.0
47,1822960189,F32D8A789E02866AFD83B4C0EC44F8167B7BFFE9,2022-04-19 12:00:00.0,2022-04-27 12:00:00.0
48,1786848139,927310430AE1A6C93079F16577447F56BB94717A,2022-03-31 12:00:00.0,2022-04-14 12:00:00.0
49,1818408523,F32D8A789E02866AFD83B4C0EC44F8167B7BFFE9,2022-04-19 12:00:00.0,2022-04-29 12:00:00.0
50,1779335264,52DBEAC979C09E8A4C40BA97E707A39471AB1EBB,2022-03-31 12:00:00.0,2022-04-02 12:00:00.0
51,1818407692,F32D8A789E02866AFD83B4C0EC44F8167B7BFFE9,2022-04-19 12:00:00.0,2022-04-29 12:00:00.0
52,1689896810,52DBEAC979C09E8A4C40BA97E707A39471AB1EBB,2022-03-31 12:00:00.0,2022-04-02 12:00:00.0
53,1782500501,052286EE8494C4F363E284514A637CBFA682AEE1,2022-04-19 12:00:00.0,2022-04-27 12:00:00.0
54,1822433421,517382D9D29EF07686FB21596C57D608450D8527,2022-03-31 12:00:00.0,2022-04-21 12:00:00.0
55,1726225857,052286EE8494C4F363E284514A637CBFA682AEE1,2022-04-19 12:00:00.0,2022-04-27 12:00:00.0
56,1818486004,D01F61B76A303E7F33264F29218922531AEBC726,2022-03-31 12:00:00.0,2022-04-26 12:00:00.0
57,1719489956,82B7612BFA099F809624AF041673C6CB9893757D,2022-04-19 12:00:00.0,2022-04-22 12:00:00.0
58,1796569171,D01F61B76A303E7F33264F29218922531AEBC726,2022-03-31 12:00:00.0,2022-04-23 12:00:00.0
59,1625334160,F32D8A789E02866AFD83B4C0EC44F8167B7BFFE9,2022-04-19 12:00:00.0,2022-04-27 12:00:00.0
60,1818822608,D0F26FC1CE26BA9ACF9FF24E251A8F74976B36C8,2022-03-31 12:00:00.0,2022-04-22 12:00:00.0
